bill_id,state,identifier,title,score_numeric,advanced,derived_status,first_action_date,latest_passage_date,latest_action_date
ocd-bill/4f76fedd-c531-4529-a45f-4e29bd3d6766,Virginia,SB 1294,"Retail Sales and Use Tax; removes June 30, 2035, sunset on local exemption for data centers.",9.0,0,active_in_committee_or_chamber,2023-01-10 00:00:00+00:00,,2023-02-01 00:00:00+00:00
ocd-bill/06e25c91-244a-4e57-b49d-67c222c4528b,Virginia,SB 1332,Federally recognized Tribal Nations in the Commonwealth; consultation on permits and reviews.,4.0,1,passed_chamber_or_legislature,2023-01-10 00:00:00+00:00,2023-02-02 00:00:00+00:00,2023-02-22 00:00:00+00:00
ocd-bill/8a2dd8bc-a4c6-4cca-9002-8dc1a14b71ff,Virginia,HB 2197,Va. Electric Utility Regulation Act; eligible sources for renewable energy portfolio standard prog.,6.0,1,passed_chamber_or_legislature,2023-01-11 00:00:00+00:00,2023-02-06 00:00:00+00:00,2023-02-20 00:00:00+00:00
ocd-bill/b6d79308-2317-4bf8-a340-4d5927b98210,Virginia,HB 2311,Virginia Electric Utility Regulation Act; eligible sources for renewable energy.,6.0,0,active_in_committee_or_chamber,2023-01-11 00:00:00+00:00,,2023-02-07 00:00:00+00:00
ocd-bill/5554d982-58d7-4bfb-80e1-1dee06345b0d,Virginia,SB 1419,"Electric utilities; retail competition, renewable energy.",6.0,0,active_in_committee_or_chamber,2023-01-11 00:00:00+00:00,,2023-01-23 00:00:00+00:00
ocd-bill/08885217-a9b2-45df-9b99-2fc7ddc7df26,Virginia,SB 1441,"Offshore wind capacity; development, cost recovery.",7.0,1,enacted,2023-01-11 00:00:00+00:00,2023-02-24 00:00:00+00:00,2023-05-12 00:00:00+00:00
ocd-bill/e059df86-f37d-42b7-a866-321f74e43ccb,Virginia,HB 2334,"Retail Sales and Use Tax; exemption for oil and gas drilling equipment, extends sunset provision.",8.0,1,enacted,2023-01-12 00:00:00+00:00,2023-02-16 00:00:00+00:00,2023-03-21 00:00:00+00:00
ocd-bill/9a5ccc3b-449b-41df-8633-098f6d743ba9,Virginia,SB 1477,Electric utility; offshore wind affiliate.,7.0,1,enacted,2023-01-18 00:00:00+00:00,2023-03-08 00:00:00+00:00,2023-03-24 00:00:00+00:00
ocd-bill/a85593c9-cfae-4c81-838d-b0326b38f362,Virginia,HB 2444,"Offshore wind capacity; development, cost recovery.",7.0,1,enacted,2023-01-20 00:00:00+00:00,2023-02-23 00:00:00+00:00,2023-05-12 00:00:00+00:00
ocd-bill/802b176b-ad65-4650-8ea1-3804daead1eb,Virginia,HB 2479,Cloud Computing Cluster Infrastructure Grant Fund; created.,8.0,1,enacted,2023-01-20 00:00:00+00:00,2023-03-08 00:00:00+00:00,2023-03-27 00:00:00+00:00
